class,name,county_nam,state_alph,state_num,lat_dec,lon_dec,lat_dms,lon_dms,descriptio,var_name1,subtype,map_name,ET_Source
school,Augusta Levy Learning Center,Ohio,WV,54,40.083337,-80.726128,"40? 5' 0.013"" N","80? 43' 34.061"" W","99 North Main Street, Wheeling, WV 26003",,Private,Wheeling,Point Features Retrieved from WVGISTC Created Dataset
school,Lyceum Preparatory Academy,Ohio,WV,54,40.066212,-80.718493,"40? 3' 58.363"" N","80? 43' 6.575"" W","83 14th Street, Wheeling, WV 26003",,Private,Wheeling,Point Features Retrieved from WVGISTC Created Dataset
school,Sikora Montessori School,Ohio,WV,54,40.045236,-80.658676,"40? 2' 42.849"" N","80? 39' 31.235"" W","2108 Lumber Avenue, Wheeling, WV 26003",,Private,Wheeling,Point Features Retrieved from WVGISTC Created Dataset
school,Spiero Academy,Ohio,WV,54,40.093846,-80.625189,"40? 5' 37.845"" N","80? 37' 30.679"" W","135 Stewart's Hill Road, Wheeling, WV 26003",,Private,Wheeling,Point Features Retrieved from WVGISTC Created Dataset
school,Corpus Christi Grade School,Ohio,WV,54,40.116109,-80.698161,"40? 6' 57.991"" N","80? 41' 53.380"" W",,,Public Elementary,Wheeling,Point Features Retrieved from GNIS 06072010
school,Wheeling Country Day School,Ohio,WV,54,40.076535,-80.697774,"40? 4' 35.527"" N","80? 41' 51.986"" W",,,Private,Wheeling,Point Features Retrieved from GNIS 06072010
school,Madison Elementary School,Ohio,WV,54,40.07222,-80.733372,"40? 4' 19.990"" N","80? 44' 0.137"" W",,,Public Elementary,Wheeling,Point Features Retrieved from GNIS 06072010
school,Middle Creek School,Ohio,WV,54,40.044241,-80.550905,"40? 2' 39.267"" N","80? 33' 3.259"" W",,,Public Middle,Valley Grove,Point Features Retrieved from GNIS 06072010
school,Saint Joan of Arc School,Ohio,WV,54,40.075906,-80.705914,"40? 4' 33.261"" N","80? 42' 21.290"" W",,,Private,Wheeling,Point Features Retrieved from GNIS 06072010
school,Saint Marys School,Ohio,WV,54,40.04674,-80.723971,"40? 2' 48.263"" N","80? 43' 26.295"" W",,,Private,Wheeling,Point Features Retrieved from GNIS 06072010
school,Saint Michael's School,Ohio,WV,54,40.073242,-80.68269,"40? 4' 23.669"" N","80? 40' 57.683"" W",,,Private,Wheeling,Point Features Retrieved from GNIS 06072010
