CN,CNAME,C_SN,C_SNAME,MPROF,MPROFP,MTEST,RPROF,RPROFP,RTEST,SPROF,SPROFP,SSPROF,SSPROFP,SSTEST,STEST
002,Barbour   ,101,Kasson Elementary/Middle School         ,8,36.3600,22,9,40.9000,22,7,31.8100,7,31.8100,22,22
002,Barbour   ,201,Belington Elementary                    ,24,48.9700,49,23,46.9300,49,14,28.5700,17,34.6900,49,49
002,Barbour   ,202,Junior Elementary                       ,6,42.8500,14,6,42.8500,14,6,42.8500,3,21.4200,14,14
002,Barbour   ,204,Philippi Elementary School              ,31,47.6900,65,30,46.1500,65,29,46.0300,27,42.8500,63,63
002,Barbour   ,205,Volga Century Elementary                ,3,23.0700,13,3,23.0700,13,2,15.3800,2,15.3800,13,13
004,Berkeley  ,203,Berkeley Heights Elementary School      ,63,36.4100,173,73,42.1900,173,84,48.5500,65,37.5700,173,173
004,Berkeley  ,204,Bunker Hill Elementary School           ,45,51.7200,87,58,66.6600,87,49,58.3300,43,51.1900,84,84
004,Berkeley  ,205,Burke Street Elementary School          ,5,25.0000,20,10,50.0000,20,6,30.0000,5,25.0000,20,20
004,Berkeley  ,208,Inwood Primary School                   ,20,52.6300,38,22,57.8900,38,17,44.7300,19,50.0000,38,38
004,Berkeley  ,211,Rosemont Elementary School              ,50,41.6600,120,62,51.6600,120,78,65.0000,59,49.1600,120,120
004,Berkeley  ,213,Valley View Elementary School           ,66,46.4700,142,50,35.2100,142,67,48.9000,40,28.9800,138,137
004,Berkeley  ,214,Winchester Avenue Elementary School     ,15,34.8800,43,12,27.9000,43,12,27.9000,13,30.2300,43,43
004,Berkeley  ,215,Tomahawk Intermediate School            ,81,47.3600,171,93,54.3800,171,101,59.0600,91,53.2100,171,171
004,Berkeley  ,216,Potomack Intermediate School            ,93,43.6600,213,93,43.6600,213,101,47.8600,87,41.2300,211,211
004,Berkeley  ,218,Eagle School Intermediate               ,97,42.5400,228,98,42.9800,228,76,35.3400,73,33.9500,215,215
004,Berkeley  ,220,Mountain Ridge Intermediate School      ,43,35.2400,122,52,42.9700,121,42,34.4200,39,32.2300,121,122
006,Boone     ,102,Whitesville Elementary School           ,5,25.0000,20,10,50.0000,20,6,30.0000,3,15.0000,20,20
006,Boone     ,205,Jeffrey-Spencer Elementary School       ,5,33.3300,15,9,60.0000,15,7,46.6600,7,46.6600,15,15
006,Boone     ,207,Madison Elementary                      ,23,34.8400,66,25,37.8700,66,19,28.7800,21,31.8100,66,66
006,Boone     ,209,Nellis Elementary School                ,1,10.0000,10,1,10.0000,10,2,20.0000,2,20.0000,10,10
006,Boone     ,212,Ramage Elementary School                ,17,53.1200,32,13,40.6200,32,13,40.6200,11,34.3700,32,32
006,Boone     ,215,Van Elementary School                   ,8,36.3600,22,7,31.8100,22,5,23.8000,5,23.8000,21,21
006,Boone     ,216,Wharton Elementary School               ,4,30.7600,13,5,38.4600,13,3,23.0700,3,23.0700,13,13
006,Boone     ,219,Sherman Elementary School               ,19,30.6400,62,32,51.6100,62,20,32.2500,22,35.4800,62,62
006,Boone     ,220,Brookview Elementary                    ,23,26.1300,88,21,23.8600,88,16,18.3900,19,21.8300,87,87
008,Braxton   ,101,Burnsville Elementary School            ,7,28.0000,25,5,20.0000,25,12,48.0000,8,32.0000,25,25
008,Braxton   ,201,Davis Elementary School                 ,12,48.0000,25,15,60.0000,25,14,56.0000,12,48.0000,25,25
008,Braxton   ,202,Flatwoods Elementary School             ,24,58.5300,41,18,43.9000,41,27,65.8500,17,41.4600,41,41
008,Braxton   ,203,Frametown Elementary School             ,9,60.0000,15,7,46.6600,15,12,80.0000,11,73.3300,15,15
008,Braxton   ,204,Little Birch Elementary School          ,10,62.5000,16,10,62.5000,16,10,62.5000,10,62.5000,16,16
008,Braxton   ,205,Sutton Elementary School                ,13,40.6200,32,12,37.5000,32,18,58.0600,13,41.9300,31,31
010,Brooke    ,201,Beech Bottom Primary School             ,11,50.0000,22,5,23.8000,21,6,28.5700,6,28.5700,21,21
010,Brooke    ,202,Collier Primary School                  ,15,46.8700,32,12,37.5000,32,15,46.8700,10,31.2500,32,32
010,Brooke    ,203,Franklin Primary School                 ,18,54.5400,33,23,69.6900,33,19,57.5700,16,48.4800,33,33
010,Brooke    ,204,Hooverson Heights Primary School        ,20,54.0500,37,19,51.3500,37,18,50.0000,16,44.4400,36,36
010,Brooke    ,205,Jefferson Primary School                ,20,43.4700,46,22,47.8200,46,20,46.5100,23,53.4800,43,43
010,Brooke    ,206,Lauretta B Millsop Primary School       ,2,11.7600,17,3,17.6400,17,2,11.7600,0,0.0000,17,17
010,Brooke    ,207,Wellsburg Primary School                ,14,31.1100,45,16,35.5500,45,19,43.1800,14,31.8100,44,44
012,Cabell    ,203,Altizer Elementary School               ,13,32.5000,40,14,35.0000,40,12,30.0000,12,30.0000,40,40
012,Cabell    ,218,Cox Landing Elementary School           ,12,42.8500,28,10,35.7100,28,7,25.0000,7,25.0000,28,28
012,Cabell    ,221,Culloden Elementary School              ,6,21.4200,28,12,42.8500,28,12,42.8500,7,25.0000,28,28
012,Cabell    ,224,Davis Creek Elementary School           ,17,42.5000,40,27,67.5000,40,19,47.5000,18,45.0000,40,40
012,Cabell    ,233,Geneva Kent Elementary School           ,19,43.1800,44,21,47.7200,44,15,34.0900,16,36.3600,44,44
012,Cabell    ,236,Guyandotte Elementary School            ,12,33.3300,36,8,22.2200,36,12,33.3300,12,33.3300,36,36
012,Cabell    ,239,Highlawn Elementary School              ,12,36.3600,33,12,36.3600,33,13,39.3900,10,30.3000,33,33
012,Cabell    ,242,Hite Saunders Elementary School         ,7,25.9200,27,14,51.8500,27,13,48.1400,10,37.0300,27,27
012,Cabell    ,251,Martha Elementary School                ,19,43.1800,44,18,40.9000,44,14,31.8100,19,43.1800,44,44
012,Cabell    ,254,Meadows Elementary School               ,14,43.7500,32,15,46.8700,32,15,46.8700,16,50.0000,32,32
012,Cabell    ,263,Milton Elementary School                ,19,19.7900,96,29,30.2000,96,31,32.2900,33,34.3700,96,96
012,Cabell    ,269,Nichols Elementary School               ,18,35.2900,51,28,54.9000,51,20,39.2100,24,47.0500,51,51
012,Cabell    ,272,Ona Elementary School                   ,34,64.1500,53,38,71.6900,53,39,73.5800,26,49.0500,53,53
012,Cabell    ,281,Peyton Elementary School                ,9,52.9400,17,3,17.6400,17,3,17.6400,5,29.4100,17,17
012,Cabell    ,285,Salt Rock Elementary School             ,14,37.8300,37,15,40.5400,37,17,45.9400,18,48.6400,37,37
012,Cabell    ,287,Spring Hill Elementary School           ,20,24.0900,83,21,25.3000,83,14,17.7200,19,24.0500,79,79
012,Cabell    ,290,Central City Elementary School          ,29,35.3600,82,23,28.0400,82,27,34.1700,23,29.1100,79,79
012,Cabell    ,291,Village of Barboursville Elementary Sch.,42,43.2900,97,51,52.5700,97,57,59.3700,47,48.9500,96,96
012,Cabell    ,292,Southside Elementary                    ,27,40.9000,66,33,50.0000,66,33,50.7600,33,50.7600,65,65
014,Calhoun   ,201,Arnoldsburg School                      ,20,58.8200,34,18,52.9400,34,23,67.6400,18,52.9400,34,34
014,Calhoun   ,203,Pleasant Hill School                    ,13,41.9300,31,10,32.2500,31,13,41.9300,8,25.8000,31,31
016,Clay      ,202,Clay Elementary School                  ,36,50.0000,72,47,65.2700,72,32,44.4400,35,48.6100,72,72
016,Clay      ,205,Lizemore Elementary School              ,14,60.8600,23,17,73.9100,23,15,65.2100,8,34.7800,23,23
016,Clay      ,208,H E White Elementary School             ,8,53.3300,15,4,26.6600,15,5,33.3300,4,26.6600,15,15
016,Clay      ,209,Big Otter Elementary School             ,12,38.7000,31,18,58.0600,31,9,29.0300,14,45.1600,31,31
018,Doddridge ,211,Doddridge County Elementary School      ,29,35.3600,82,31,37.8000,82,34,41.9700,21,25.9200,81,81
020,Fayette   ,201,Ansted Elementary                       ,17,42.5000,40,18,45.0000,40,16,40.0000,17,42.5000,40,40
020,Fayette   ,206,Divide Elementary School                ,17,43.5800,39,17,43.5800,39,19,48.7100,19,48.7100,39,39
020,Fayette   ,208,Fayetteville Elementary School          ,19,38.7700,49,18,36.7300,49,20,40.8100,17,34.6900,49,49
020,Fayette   ,210,Gatewood Elementary School              ,8,50.0000,16,5,31.2500,16,5,31.2500,2,12.5000,16,16
020,Fayette   ,211,Gauley Bridge Elementary School         ,7,31.8100,22,3,13.6300,22,4,19.0400,5,23.8000,21,21
020,Fayette   ,215,Meadow Bridge Elementary School         ,14,42.4200,33,19,57.5700,33,12,37.5000,16,50.0000,32,32
020,Fayette   ,217,Mount Hope Elementary School            ,8,24.2400,33,9,27.2700,33,8,25.0000,6,18.1800,33,32
020,Fayette   ,223,Rosedale Elementary School              ,9,25.0000,36,9,25.0000,36,7,19.4400,8,22.8500,35,36
020,Fayette   ,225,Valley Elementary School                ,24,40.0000,60,29,48.3300,60,24,41.3700,22,37.9300,58,58
020,Fayette   ,226,New River Elementary                    ,51,35.1700,145,52,35.6100,146,38,26.5700,37,25.6900,144,143
022,Gilmer    ,201,Glenville Elementary School             ,25,71.4200,35,17,48.5700,35,23,65.7100,17,48.5700,35,35
022,Gilmer    ,202,Normantown Elementary School            ,8,61.5300,13,9,69.2300,13,11,84.6100,7,53.8400,13,13
022,Gilmer    ,203,Sand Fork Elementary School             ,10,90.9000,11,6,54.5400,11,9,81.8100,9,81.8100,11,11
022,Gilmer    ,205,Troy Elementary School                  ,1,9.0900,11,3,27.2700,11,5,45.4500,2,18.1800,11,11
024,Grant     ,101,Union Educational Complex               ,6,31.5700,19,4,21.0500,19,9,47.3600,2,10.5200,19,19
024,Grant     ,202,Maysville Elementary School             ,8,42.1000,19,9,47.3600,19,11,57.8900,8,42.1000,19,19
024,Grant     ,203,Petersburg Elementary School            ,37,41.5700,89,32,35.9500,89,35,40.6900,29,33.7200,86,86
026,Greenbrier,101,Crichton Elementary                     ,3,20.0000,15,3,20.0000,15,3,20.0000,1,6.6600,15,15
026,Greenbrier,102,Rainelle Elementary                     ,11,28.9400,38,14,36.8400,38,13,34.2100,11,28.9400,38,38
026,Greenbrier,103,Rupert Elementary                       ,8,30.7600,26,14,53.8400,26,14,53.8400,10,38.4600,26,26
026,Greenbrier,104,Smoot Elementary                        ,11,52.3800,21,15,71.4200,21,16,76.1900,15,71.4200,21,21
026,Greenbrier,201,Alderson Elementary School              ,15,39.4700,38,19,50.0000,38,19,52.7700,16,43.2400,37,36
026,Greenbrier,204,Frankford School                        ,20,42.5500,47,17,36.9500,46,30,66.6600,23,51.1100,45,45
026,Greenbrier,205,Lewisburg Elementary School             ,31,34.0600,91,41,45.0500,91,59,66.2900,44,49.4300,89,89
026,Greenbrier,207,Ronceverte Elementary School            ,24,36.3600,66,24,36.3600,66,30,46.1500,24,36.9200,65,65
026,Greenbrier,208,White Sulphur Elementary School         ,23,51.1100,45,24,53.3300,45,22,50.0000,23,52.2700,44,44
028,Hampshire ,201,Augusta Elementary School               ,18,39.1300,46,15,32.6000,46,19,42.2200,17,37.7700,45,45
028,Hampshire ,204,John J. Cornwell School                 ,3,21.4200,14,4,28.5700,14,6,42.8500,4,28.5700,14,14
028,Hampshire ,206,Romney Elementary School                ,19,38.0000,50,17,34.0000,50,14,28.5700,14,28.0000,50,49
028,Hampshire ,207,Slanesville Elementary School           ,4,23.5200,17,4,23.5200,17,9,52.9400,10,58.8200,17,17
028,Hampshire ,208,Springfield-Green Spring Elementary Sch ,1,9.0900,11,2,18.1800,11,4,36.3600,2,18.1800,11,11
028,Hampshire ,209,Capon Bridge Elementary School          ,20,33.3300,60,26,43.3300,60,23,38.3300,19,31.6600,60,60
029,Hancock   ,201,Broadview Elementary School             ,26,43.3300,60,32,53.3300,60,27,45.0000,25,41.6600,60,60
029,Hancock   ,205,Liberty Elementary School               ,19,65.5100,29,21,72.4100,29,20,68.9600,16,55.1700,29,29
029,Hancock   ,208,New Manchester Elementary School        ,25,41.6600,60,34,56.6600,60,34,56.6600,30,50.0000,60,60
029,Hancock   ,209,Weirton Heights Elementary School       ,29,49.1500,59,32,54.2300,59,13,25.0000,17,32.6900,52,52
029,Hancock   ,210,A. T. Allison Elementary School         ,41,46.0600,89,46,51.6800,89,34,39.0800,30,34.4800,87,87
031,Hardy     ,204,East Hardy Early/Middle School          ,12,25.0000,48,15,31.2500,48,17,37.7700,15,32.6000,46,45
031,Hardy     ,205,Moorefield Intermediate School          ,69,60.0000,115,70,60.8600,115,61,53.0400,55,47.8200,115,115
033,Harrison  ,201,Adamston Elementary School              ,13,29.5400,44,12,27.2700,44,12,27.9000,10,23.2500,43,43
033,Harrison  ,208,Johnson Elementary School               ,51,56.6600,90,62,68.8800,90,65,72.2200,64,71.1100,90,90
033,Harrison  ,210,Lost Creek Elementary School            ,7,28.0000,25,8,32.0000,25,9,36.0000,6,25.0000,24,25
033,Harrison  ,211,Lumberport Elementary School            ,11,23.4000,47,20,42.5500,47,22,46.8000,12,25.5300,47,47
033,Harrison  ,213,North View Elementary School            ,17,41.4600,41,20,48.7800,41,20,51.2800,16,41.0200,39,39
033,Harrison  ,214,Norwood Elementary School               ,9,21.9500,41,12,29.2600,41,9,22.5000,7,17.5000,40,40
033,Harrison  ,220,Simpson Elementary School               ,40,58.8200,68,38,55.8800,68,45,66.1700,38,55.8800,68,68
033,Harrison  ,225,West Milford Elementary School          ,31,46.9600,66,35,53.0300,66,46,69.6900,32,48.4800,66,66
033,Harrison  ,226,Wilsonburg Elementary School            ,15,57.6900,26,10,38.4600,26,11,44.0000,9,36.0000,25,25
033,Harrison  ,231,Big Elm Elementary School               ,49,50.5100,97,33,34.0200,97,49,52.1200,41,43.6100,94,94
